embodiment,task,n_rows
mecka,adding_toppings_to_dough,1
mecka,adhering_magnets_to_cards,1
mecka,adhering_paper_sheets_to_cardboard,2
mecka,adjusting_artificial_flowers,1
mecka,adjusting_bedsheets,2
mecka,adjusting_bicycle_spokes,1
mecka,adjusting_brakes,1
mecka,adjusting_camera_lenses,1
mecka,adjusting_covers,1
mecka,adjusting_flowers,1
mecka,adjusting_food,1
mecka,adjusting_handlebars,1
mecka,adjusting_mixers,1
mecka,adjusting_molds,1
mecka,adjusting_pillows,1
mecka,adjusting_spokes,1
mecka,adjusting_string_tension,1
mecka,adjusting_tableware,1
mecka,adjusting_tuning_pegs,1
mecka,adjusting_valves,1
mecka,adjusting_watch_band,1
mecka,adjusting_watch_bands,2
mecka,adjusting_watch_bracelets,1
mecka,adjusting_watch_parts,1
mecka,adjusting_watch_straps,1
mecka,adjusting_wood_pieces,1
mecka,air_layering_plants,1
mecka,airbrushing_models,5
mecka,aligning_dough_balls,1
mecka,aligning_stencils,1
mecka,aligning_sticks,1
mecka,altering_bag,1
mecka,altering_garments,5
mecka,applying_adhesive,7
mecka,applying_adhesive_strips,2
mecka,applying_adhesive_tape,2
mecka,applying_adhesive_to_phone_screen,1
mecka,applying_adhesive_to_shoe_strip,1
mecka,applying_adhesives,1
mecka,applying_and_sanding_putty,1
mecka,applying_base_coat,2
mecka,applying_beads,1
mecka,applying_bottle_seals,1
mecka,applying_cleaning_solution,1
mecka,applying_coating,2
mecka,applying_coating_to_parts,1
mecka,applying_compound,3
mecka,applying_decals,4
mecka,applying_decorations,1
mecka,applying_edge_banding,7
mecka,applying_edge_finish,2
mecka,applying_edge_paint,1
mecka,applying_egg_wash,10
mecka,applying_egg_wash_to_pastries,2
mecka,applying_emulsion,3
mecka,applying_films,1
mecka,applying_flux,1
mecka,applying_fragrance,3
mecka,applying_glaze,1
mecka,applying_glue,10
mecka,applying_glue_to_phones,1
mecka,applying_glue_to_shoes,4
mecka,applying_glue_to_wood_strips,1
mecka,applying_granules,1
mecka,applying_keyboard_protectors,1
mecka,applying_labels,5
mecka,applying_labels_to_bottles,1
mecka,applying_liquid_to_dentures,1
mecka,applying_liquid_to_molds,1
mecka,applying_masking_tape,1
mecka,applying_nail_art,1
mecka,applying_nail_polish,11
mecka,applying_paper,1
mecka,applying_price_tags,1
mecka,applying_protective_films,1
mecka,applying_putty,8
mecka,applying_resin,1
mecka,applying_screen_protectors,8
mecka,applying_solution_to_shoes,1
mecka,applying_stickers,25
mecka,applying_sublimation_papers,1
mecka,applying_tape,46
mecka,applying_tape_to_cards,2
mecka,applying_tape_to_stickers,1
mecka,applying_thermal_paste,1
mecka,applying_treatment,1
mecka,applying_veneer,10
mecka,applying_veneer_strips,11
mecka,applying_veneer_tape,7
mecka,applying_veneers,8
mecka,applying_vinyl,1
mecka,applying_vinyl_decals,1
mecka,applying_vinyl_sheets,1
mecka,applying_wax_to_model,2
mecka,applying_wood_filler,8
mecka,applying_wood_strips,7
mecka,applying_wood_tape,1
mecka,applying_wood_tiles,1
mecka,applying_wood_veneer,3
mecka,applying_wood_veneers,1
mecka,arranging_and_organizing_items,1
mecka,arranging_and_packaging_items,1
mecka,arranging_aquarium_decorations,1
mecka,arranging_artificial_flowers,2
mecka,arranging_bacon,1
mecka,arranging_bags,3
mecka,arranging_baskets,3
mecka,arranging_beads,6
mecka,arranging_beauty_products,1
mecka,arranging_bedding,1
mecka,arranging_billiard_balls,7
mecka,arranging_bottles,1
mecka,arranging_bouquets,8
mecka,arranging_cabbage_rolls,1
mecka,arranging_candies,2
mecka,arranging_cards,3
mecka,arranging_chairs,1
mecka,arranging_clothes,3
mecka,arranging_clothes_on_rack,1
mecka,arranging_components,1
mecka,arranging_cookies,2
mecka,arranging_cosmetics,4
mecka,arranging_cups,1
mecka,arranging_cutlery,1
mecka,arranging_decorations,2
mecka,arranging_desk,1
mecka,arranging_dishes,4
mecka,arranging_dough,6
mecka,arranging_dough_balls,2
mecka,arranging_dough_pieces,1
mecka,arranging_eyelashes,1
mecka,arranging_flowers,75
mecka,arranging_folders,1
mecka,arranging_food,9
mecka,arranging_food_packets,2
mecka,arranging_fruits,3
mecka,arranging_furniture,1
mecka,arranging_gift_baskets,2
mecka,arranging_glassware,1
mecka,arranging_hair_ties,4
mecka,arranging_incense_cones,11
mecka,arranging_items,8
mecka,arranging_items_on_table,3
mecka,arranging_jewelry_components,1
mecka,arranging_leaves,2
mecka,arranging_lollipops,1
mecka,arranging_merchandise,1
mecka,arranging_metal_type,1
mecka,arranging_money,2
mecka,arranging_mugs,1
mecka,arranging_noodle_packets,1
mecka,arranging_office_supplies,1
mecka,arranging_packets,3
mecka,arranging_paper_bags,3
mecka,arranging_papers,1
mecka,arranging_pastries,11
mecka,arranging_pastry,1
mecka,arranging_pastry_shells,1
mecka,arranging_pebbles,1
mecka,arranging_planks,3
mecka,arranging_plants,1
mecka,arranging_plates,1
mecka,arranging_plush_toys,1
mecka,arranging_products,1
mecka,arranging_screws,1
mecka,arranging_snacks,4
mecka,arranging_stencils,1
mecka,arranging_sticks,1
mecka,arranging_stones,4
mecka,arranging_table,1
mecka,arranging_table_setting,1
mecka,arranging_tableware,16
mecka,arranging_tea_leaves,1
mecka,arranging_tiles,1
mecka,arranging_tools,1
mecka,arranging_toothpicks,1
mecka,arranging_utensils,1
mecka,arranging_watches,1
mecka,arranging_wood,5
mecka,arranging_wood_blocks,1
mecka,arranging_wood_pieces,22
mecka,arranging_wood_planks,5
mecka,arranging_wood_strips,11
mecka,arranging_wooden_planks,4
mecka,arranging_wrapping_paper,1
mecka,art_framing,1
mecka,artwork_preparation,5
mecka,assembling_a_bouquet,1
mecka,assembling_a_box,4
mecka,assembling_a_gift_basket,1
mecka,assembling_a_gift_box,4
mecka,assembling_a_gift_item,1
mecka,assembling_a_teddy_bear_decoration,1
mecka,assembling_a_toothpick_craft,2
mecka,assembling_a_toothpick_model,2
mecka,assembling_a_toy,3
mecka,assembling_accessories,4
mecka,assembling_and_disassembling_electrical_plugs,2
mecka,assembling_and_disassembling_netbooks,1
mecka,assembling_and_disassembling_pens,1
mecka,assembling_and_packaging_electronics,1
mecka,assembling_and_packaging_hair_clips,1
mecka,assembling_and_packaging_items,6
mecka,assembling_and_packaging_perfume_bottles,1
mecka,assembling_and_packaging_perfumes,3
mecka,assembling_appliances,1
mecka,assembling_applicators,2
mecka,assembling_aquascape,1
mecka,assembling_artificial_flowers,18
mecka,assembling_artificial_plants,2
mecka,assembling_bags,27
mecka,assembling_bamboo_frames,1
mecka,assembling_batteries,1
mecka,assembling_beads,1
mecka,assembling_belts,2
mecka,assembling_bicycle_parts,1
mecka,assembling_blocks,15
mecka,assembling_bolts,5
mecka,assembling_bolts_and_nuts,2
mecka,assembling_book_covers,4
mecka,assembling_booklets,1
mecka,assembling_books,2
mecka,assembling_bottles,6
mecka,assembling_bouquet_bases,1
mecka,assembling_bouquets,2
mecka,assembling_bowls,1
mecka,assembling_boxes,340
mecka,assembling_brakes,1
mecka,assembling_brooms,1
mecka,assembling_butterfly_decorations,1
mecka,assembling_cables,4
mecka,assembling_cages,2
mecka,assembling_cake_toppers,1
mecka,assembling_cakes,1
mecka,assembling_calendars,4
mecka,assembling_candle_holders,1
mecka,assembling_candle_wicks,6
mecka,assembling_candles,7
mecka,assembling_car_parts,1
mecka,assembling_carburetors,14
mecka,assembling_cardboard,2
mecka,assembling_cardboard_boxes,8
mecka,assembling_cardboard_pieces,3
mecka,assembling_casing,1
mecka,assembling_chains,1
mecka,assembling_coffee_drip_bags,1
mecka,assembling_components,99
mecka,assembling_computer,4
mecka,assembling_computer_components,1
mecka,assembling_computers,5
mecka,assembling_cones,2
mecka,assembling_connectors,42
mecka,assembling_containers,1
mecka,assembling_controllers,1
mecka,assembling_cords,5
mecka,assembling_craft,1
mecka,assembling_craft_flowers,2
mecka,assembling_craft_items,1
mecka,assembling_crafts,45
mecka,assembling_cutlery_sets,7
mecka,assembling_decorations,46
mecka,assembling_dentures,2
mecka,assembling_dumplings,2
mecka,assembling_electrical_components,47
mecka,assembling_electrical_connectors,1
mecka,assembling_electrical_plugs,126
mecka,assembling_electrical_sockets,9
mecka,assembling_electrical_switches,1
mecka,assembling_electronic_components,6
mecka,assembling_electronics,55
mecka,assembling_empanadas,2
mecka,assembling_engine,1
mecka,assembling_engine_parts,3
mecka,assembling_engines,1
mecka,assembling_extension_boards,1
mecka,assembling_eyeglasses,2
mecka,assembling_eyelets,1
mecka,assembling_fans,1
mecka,assembling_fasteners,4
mecka,assembling_favors,1
mecka,assembling_floral_decorations,1
mecka,assembling_floral_stems,1
mecka,assembling_flower_bases,1
mecka,assembling_flower_bouquets,1
mecka,assembling_flower_crafts,1
mecka,assembling_flower_stems,2
mecka,assembling_flowers,98
mecka,assembling_foam_letters,1
mecka,assembling_foam_structures,1
mecka,assembling_food,1
mecka,assembling_food_boxes,1
mecka,assembling_frames,9
mecka,assembling_furniture,16
mecka,assembling_gift_bags,12
mecka,assembling_gift_baskets,2
mecka,assembling_gift_box,1
mecka,assembling_gift_boxes,9
mecka,assembling_gifts,53
mecka,assembling_hair_clips,2
mecka,assembling_hair_ties,1
mecka,assembling_handicrafts,2
mecka,assembling_hard_drive,1
mecka,assembling_hardware,28
mecka,assembling_headlamps,1
mecka,assembling_horns,1
mecka,assembling_housings,1
mecka,assembling_invitations,14
mecka,assembling_items,2
mecka,assembling_jewelry,27
mecka,assembling_kettles,2
mecka,assembling_keyboard,1
mecka,assembling_keyboards,4
mecka,assembling_keychains,15
mecka,assembling_kites,6
mecka,assembling_labels,1
mecka,assembling_lampshades,1
mecka,assembling_lanyards,2
mecka,assembling_laptop,35
mecka,assembling_laptops,35
mecka,assembling_leather_goods,3
mecka,assembling_leather_parts,1
mecka,assembling_leather_pieces,2
mecka,assembling_leather_pouches,1
mecka,assembling_leather_straps,1
mecka,assembling_led_boards,1
mecka,assembling_light_fixtures,1
mecka,assembling_logic_boards,1
mecka,assembling_materials,1
mecka,assembling_mechanical_parts,2
mecka,assembling_medical_supplies,3
mecka,assembling_metal_components,1
mecka,assembling_metal_parts,2
mecka,assembling_miniature_houses,1
mecka,assembling_miniature_structure,1
mecka,assembling_miniatures,2
mecka,assembling_mirrors,1
mecka,assembling_model_houses,2
mecka,assembling_model_kit,1
mecka,assembling_models,16
mecka,assembling_money_bouquet,1
mecka,assembling_motor,1
mecka,assembling_motorcycle_parts,4
mecka,assembling_motors,2
mecka,assembling_needles,3
mecka,assembling_netbooks,1
mecka,assembling_organizers,1
mecka,assembling_packages,1
mecka,assembling_packaging,19
mecka,assembling_panels,1
mecka,assembling_paper_bags,26
mecka,assembling_paper_cones,3
mecka,assembling_paper_fans,1
mecka,assembling_paper_flowers,3
mecka,assembling_paper_goods,2
mecka,assembling_paper_packaging,1
mecka,assembling_parts,12
mecka,assembling_party_favors,4
mecka,assembling_party_horns,1
mecka,assembling_pastries,1
mecka,assembling_pens,211
mecka,assembling_perfume_bottles,1
mecka,assembling_perfumes,8
mecka,assembling_phone,59
mecka,assembling_phones,15
mecka,assembling_pieces,1
mecka,assembling_plastic_parts,2
mecka,assembling_plastic_sleeves,1
mecka,assembling_plugs,80
mecka,assembling_pouches,1
mecka,assembling_printed_materials,1
mecka,assembling_prosthetics,1
mecka,assembling_puzzles,1
mecka,assembling_reels,4
mecka,assembling_ribbon_flowers,1
mecka,assembling_ribbon_petals,1
mecka,assembling_ribbons,1
mecka,assembling_rings,1
mecka,assembling_screens,1
mecka,assembling_screws,26
mecka,assembling_screws_and_nuts,13
mecka,assembling_screws_and_washers,1
mecka,assembling_shelves,1
mecka,assembling_shoes,1
mecka,assembling_shuttlecocks,1
mecka,assembling_signs,12
mecka,assembling_silver_components,1
mecka,assembling_sinkers,1
mecka,assembling_smartwatches,1
mecka,assembling_souvenirs,1
mecka,assembling_speaker,1
mecka,assembling_speakers,1
mecka,assembling_stick_art,1
mecka,assembling_sticks,1
mecka,assembling_stools,1
mecka,assembling_stove,2
mecka,assembling_straps,1
mecka,assembling_syringes,6
mecka,assembling_table_numbers,1
mecka,assembling_tackle,4
mecka,assembling_tags,4
mecka,assembling_tools,1
mecka,assembling_toothpick_craft,1
mecka,assembling_toothpick_structure,1
mecka,assembling_toothpicks,2
mecka,assembling_toy_blocks,17
mecka,assembling_toys,69
mecka,assembling_trims,1
mecka,assembling_tv,1
mecka,assembling_watch_components,1
mecka,assembling_watch_parts,1
mecka,assembling_watches,12
mecka,assembling_wedding_invitations,4
mecka,assembling_wick_holders,1
mecka,assembling_wicks,12
mecka,assembling_wire_connectors,17
mecka,assembling_wire_harnesses,34
mecka,assembling_wire_structures,3
mecka,assembling_wires,53
mecka,assembling_wiring_harnesses,1
mecka,assembling_woks,1
mecka,assembling_wood,6
mecka,assembling_wood_components,1
mecka,assembling_wood_frames,1
mecka,assembling_wood_mosaics,1
mecka,assembling_wood_panels,18
mecka,assembling_wood_parts,1
mecka,assembling_wood_patterns,3
mecka,assembling_wood_pieces,1
mecka,assembling_wood_strips,1
mecka,assembling_woodcrafts,1
mecka,assembling_wooden_boxes,3
mecka,assembling_wooden_components,1
mecka,assembling_wooden_crafts,2
mecka,assembling_wooden_model,2
mecka,assembling_wooden_models,1
mecka,assembling_wooden_mosaics,1
mecka,assembling_wooden_panels,2
mecka,assembling_wooden_parts,1
mecka,assembling_woodwork,3
mecka,assembling_wrappers,1
mecka,attaching_accessories,1
mecka,attaching_balloons,1
mecka,attaching_bows,2
mecka,attaching_candies,8
mecka,attaching_chocolate_bars,1
mecka,attaching_connectors,17
mecka,attaching_corner_protectors,1
mecka,attaching_decorations,5
mecka,attaching_earrings,1
mecka,attaching_elastic_bands,1
mecka,attaching_fabrics,1
mecka,attaching_feathers,1
mecka,attaching_flowers,2
mecka,attaching_gift_tags,2
mecka,attaching_guides,1
mecka,attaching_handles,4
mecka,attaching_hangers,1
mecka,attaching_hanging_wires,1
mecka,attaching_hardware,10
mecka,attaching_hooks,6
mecka,attaching_keychain_rings,3
mecka,attaching_labels,24
mecka,attaching_leaves,9
mecka,attaching_metal_pieces,1
mecka,attaching_metal_rings,1
mecka,attaching_money_to_sticks,2
mecka,attaching_plastic_strips,1
mecka,attaching_ribbons,7
mecka,attaching_rings,3
mecka,attaching_silver_pieces,1
mecka,attaching_snacks,1
mecka,attaching_strings,20
mecka,attaching_strings_to_labels,2
mecka,attaching_strings_to_tags,3
mecka,attaching_strips,4
mecka,attaching_tags,33
mecka,attaching_tags_to_garments,5
mecka,attaching_tags_to_jewelry,4
mecka,attaching_wicks,1
mecka,attaching_wires,7
mecka,attaching_wood_strips,2
mecka,attaching_zipper_pulls,1
mecka,bag_making,1
mecka,bagging,4
mecka,bagging_and_weighing_beans,1
mecka,bagging_and_weighing_coffee_beans,1
mecka,bagging_and_weighing_coffee_grounds,7
mecka,bagging_and_weighing_pet_food,12
mecka,bagging_and_weighing_pet_foods,1
mecka,bagging_and_weighing_produce,2
mecka,bagging_and_weighing_rice,1
mecka,bagging_and_weighing_snacks,3
mecka,bagging_aquarium_substrate,2
mecka,bagging_beads,6
mecka,bagging_beans,7
mecka,bagging_bedding,1
mecka,bagging_bulk_goods,1
mecka,bagging_buttons,1
mecka,bagging_cable_ties,4
mecka,bagging_candies,2
mecka,bagging_candles,7
mecka,bagging_cards,1
mecka,bagging_clips,1
mecka,bagging_coffee,10
mecka,bagging_coffee_beans,15
mecka,bagging_coins,1
mecka,bagging_components,5
mecka,bagging_earphones,2
mecka,bagging_eggs,4
mecka,bagging_fabrics,4
mecka,bagging_feed,8
mecka,bagging_food,4
mecka,bagging_fruits,3
mecka,bagging_grains,6
mecka,bagging_granular_material,1
mecka,bagging_grass,1
mecka,bagging_hair_ties,1
mecka,bagging_hardware,4
mecka,bagging_ice,6
mecka,bagging_items,3
mecka,bagging_jewelry,1
mecka,bagging_keychains,1
mecka,bagging_limes,2
mecka,bagging_money,1
mecka,bagging_nails,47
mecka,bagging_nuts,7
mecka,bagging_peanuts,3
mecka,bagging_pellets,5
mecka,bagging_pet_food,13
mecka,bagging_petfood,2
mecka,bagging_powder,1
mecka,bagging_powders,5
mecka,bagging_produce,1
mecka,bagging_rice,2
mecka,bagging_rice_husks,1
mecka,bagging_rubber_bands,8
mecka,bagging_salt,2
mecka,bagging_screws,3
mecka,bagging_seeds,21
mecka,bagging_snacks,6
mecka,bagging_soil,2
mecka,bagging_spoons,1
mecka,bagging_star_anise,1
mecka,bagging_stickers,1
mecka,bagging_sticks,2
mecka,bagging_substrate,2
mecka,bagging_weights,1
mecka,bagging_wood_shavings,1
mecka,baking,1
mecka,baking_pastries,1
mecka,baking_pie,1
mecka,basket_weaving,1
mecka,beading,13
mecka,beading_jewelry,17
mecka,beating_eggs,1
mecka,bending_metal_jewelry_components,1
mecka,bending_metal_sheets,1
mecka,bending_pipe_cleaners,4
mecka,bending_stems,1
mecka,bending_sticks,2
mecka,bending_wires,4
mecka,binding_booklets,1
mecka,binding_calendars,4
mecka,binding_planks,1
mecka,blending_ingredients,2
mecka,blending_perfume,10
mecka,blending_perfume_oils,1
mecka,blending_perfumes,27
mecka,blending_powders,1
mecka,blending_scents,1
mecka,blocking_lenses,1
mecka,bonsai_wiring,4
mecka,bookbinding,1
mecka,bookkeeping,1
mecka,bottling,2
mecka,bottling_beverages,5
mecka,bottling_fragrances,2
mecka,bottling_liquid,1
mecka,bottling_liquids,35
mecka,bottling_perfume,88
mecka,bottling_perfumes,267
mecka,boxing_perfumes,1
mecka,braiding_bread,1
mecka,braiding_dough,3
mecka,braiding_ribbons,2
mecka,bread_preparation,3
mecka,breading_cheeses,1
mecka,breading_food,2
mecka,breading_rolls,1
mecka,breaking_apart_food,1
mecka,breaking_bread,2
mecka,breaking_dried_slices,1
mecka,breaking_wax,3
mecka,brewing_coffee,1
mecka,browsing_clothes,5
mecka,brushing_and_sorting_eggs,10
mecka,brushing_bag,1
mecka,brushing_bags,2
mecka,brushing_boots,1
mecka,brushing_carburetors,3
mecka,brushing_circuit_boards,1
mecka,brushing_clothes,2
mecka,brushing_cloths,1
mecka,brushing_cookies,12
mecka,brushing_cylinder_heads,1
mecka,brushing_dough,1
mecka,brushing_durians,1
mecka,brushing_egg_wash,4
mecka,brushing_eggs,3
mecka,brushing_exhaust_pipes,1
mecka,brushing_gears,1
mecka,brushing_laptop_casings,1
mecka,brushing_metal_parts,5
mecka,brushing_motherboard_components,1
mecka,brushing_motherboards,3
mecka,brushing_motorcycle_parts,4
mecka,brushing_parts,1
mecka,brushing_pastries,19
mecka,brushing_pillows,4
mecka,brushing_pistons,1
mecka,brushing_ram_sticks,1
mecka,brushing_sandals,5
mecka,brushing_sheets,1
mecka,brushing_shoe_exterior,1
mecka,brushing_shoe_insoles,2
mecka,brushing_shoes,147
mecka,brushing_sneakers,2
mecka,brushing_transparent_sheets,1
mecka,brushing_wheels,1
mecka,buffing_helmets,1
mecka,buffing_jewelry,1
mecka,buffing_shoes,1
mecka,building_models,3
mecka,building_structures,2
mecka,building_toothpick_structure,6
mecka,bunching_paper_strips,1
mecka,bundling,4
mecka,bundling_bouquets,1
mecka,bundling_bristles,1
mecka,bundling_leaves,1
mecka,bundling_office_supplies,1
mecka,bundling_phone_accessories,1
mecka,bundling_pipe_cleaners,1
mecka,bundling_products,1
mecka,bundling_rods,1
mecka,bundling_rubber_bands,2
mecka,bundling_sticks,20
mecka,bundling_straws,1
mecka,bundling_supplies,1
mecka,bundling_toothpicks,1
mecka,bundling_wires,6
mecka,bundling_wooden_sticks,2
mecka,buttoning_clothes,3
mecka,buttoning_shirt,1
mecka,cable_management,2
mecka,candle_making,7
mecka,capping_bottles,16
mecka,capping_fittings,1
mecka,capping_perfume_bottles,1
mecka,capping_perfume_vials,1
mecka,caring_for_plants,1
mecka,caring_plants,1
mecka,carving,2
mecka,carving_candles,1
mecka,carving_dental_mold,1
mecka,carving_dental_molds,6
mecka,carving_dentures,2
mecka,carving_floats,2
mecka,carving_foam,2
mecka,carving_foam_floats,1
mecka,carving_materials,1
mecka,carving_molds,1
mecka,carving_prostheses,1
mecka,carving_styrofoam,13
mecka,carving_wax,22
mecka,carving_wax_models,2
mecka,carving_wood,29
mecka,categorizing_books,1
mecka,chalking_pool_cues,1
mecka,changing_guitar_strings,2
mecka,checking_components,1
mecka,checking_connections,1
mecka,checking_documents,1
mecka,checking_inventory,1
mecka,checking_phone_cases,5
mecka,checking_voltage,1
mecka,chiseling_engine_parts,1
mecka,chiseling_wood,2
mecka,chopping_and_adding_ingredients,1
mecka,chopping_apples,1
mecka,chopping_cabbage,1
mecka,chopping_carrots,16
mecka,chopping_chilies,1
mecka,chopping_eggs,2
mecka,chopping_food,13
mecka,chopping_fruit,4
mecka,chopping_garlic,21
mecka,chopping_ginger,3
mecka,chopping_green_onions,1
mecka,chopping_herbs,1
mecka,chopping_ingredients,11
mecka,chopping_lemongrass,1
mecka,chopping_mushrooms,1
mecka,chopping_nuts,1
mecka,chopping_onions,18
mecka,chopping_pastries,1
mecka,chopping_peppers,1
mecka,chopping_pineapples,1
mecka,chopping_potatoes,2
mecka,chopping_sausages,2
mecka,chopping_shallots,2
mecka,chopping_tomatoes,3
mecka,chopping_vegetables,57
mecka,clamping,1
mecka,clay_sculpting,1
mecka,cleaning,75
mecka,cleaning_a_helmet,1
mecka,cleaning_a_shoe,1
mecka,cleaning_accessories,3
mecka,cleaning_airbrush,1
mecka,cleaning_and_arranging_billiard_balls,1
mecka,cleaning_and_arranging_items,2
mecka,cleaning_and_assembling_electronics,1
mecka,cleaning_and_assembling_laptop_keyboard,1
mecka,cleaning_and_bagging_candles,1
mecka,cleaning_and_decorating_tables,1
mecka,cleaning_and_folding_clothes,1
mecka,cleaning_and_inspecting_engine_parts,1
mecka,cleaning_and_inspecting_parts,1
mecka,cleaning_and_labeling_products,1
mecka,cleaning_and_lacing_shoes,1
mecka,cleaning_and_moving_furniture,1
mecka,cleaning_and_organizing,1
mecka,cleaning_and_organizing_cosmetics,1
mecka,cleaning_and_organizing_kitchen,1
mecka,cleaning_and_packaging_clothes,2
mecka,cleaning_and_packaging_items,3
mecka,cleaning_and_packaging_mushrooms,5
mecka,cleaning_and_packaging_perfume_bottles,1
mecka,cleaning_and_packaging_pouches,2
mecka,cleaning_and_packaging_shoes,1
mecka,cleaning_and_packaging_tea_leaves,1
mecka,cleaning_and_packing_caps,1
mecka,cleaning_and_packing_eggs,1
mecka,cleaning_and_packing_packets,1
mecka,cleaning_and_packing_phone_cases,1
mecka,cleaning_and_packing_spoons,1
mecka,cleaning_and_preparing_eggs,1
mecka,cleaning_and_repairing_motorcycle_parts,1
mecka,cleaning_and_separating_plant_roots,1
mecka,cleaning_and_sorting_eggs,36
mecka,cleaning_and_sorting_items,1
mecka,cleaning_and_sorting_mushrooms,4
mecka,cleaning_and_sorting_parts,1
mecka,cleaning_and_storing_items,1
mecka,cleaning_appliance_parts,1
mecka,cleaning_appliances,5
mecka,cleaning_award_plaques,1
mecka,cleaning_bags,15
mecka,cleaning_bakeware,9
mecka,cleaning_baking_pans,2
mecka,cleaning_baking_trays,3
mecka,cleaning_balls,5
mecka,cleaning_bamboos,1
mecka,cleaning_bars,1
mecka,cleaning_bathroom,8
mecka,cleaning_bathroom_items,1
mecka,cleaning_beans,1
mecka,cleaning_bearings,2
mecka,cleaning_beds,2
mecka,cleaning_bicycle_chains,1
mecka,cleaning_bicycle_parts,2
mecka,cleaning_billiard_balls,59
mecka,cleaning_billiard_cues,2
mecka,cleaning_billiard_table,1
mecka,cleaning_bins,2
mecka,cleaning_bird's_nest,4
mecka,cleaning_boards,2
mecka,cleaning_bolts,11
mecka,cleaning_books,8
mecka,cleaning_boots,4
mecka,cleaning_bottles,43
mecka,cleaning_bowls,8
mecka,cleaning_boxes,43
mecka,cleaning_brackets,3
mecka,cleaning_brake_components,2
mecka,cleaning_brushes,3
mecka,cleaning_buckets,5
mecka,cleaning_burners,1
mecka,cleaning_bushings,1
mecka,cleaning_cabinets,11
mecka,cleaning_cables,2
mecka,cleaning_camera_modules,1
mecka,cleaning_candies,1
mecka,cleaning_candle_holders,6
mecka,cleaning_candle_molds,3
mecka,cleaning_candles,28
mecka,cleaning_candy_bars,1
mecka,cleaning_canisters,1
mecka,cleaning_cans,2
mecka,cleaning_car_parts,8
mecka,cleaning_carburetor,2
mecka,cleaning_carburetor_parts,4
mecka,cleaning_carburetors,42
mecka,cleaning_cartons,1
mecka,cleaning_case,1
mecka,cleaning_casings,1
mecka,cleaning_cd_cases,2
mecka,cleaning_cds,7
mecka,cleaning_chairs,1
mecka,cleaning_chargers,2
mecka,cleaning_circuit_boards,9
mecka,cleaning_circuit_breakers,6
mecka,cleaning_clams,1
mecka,cleaning_clippers,1
mecka,cleaning_clips,1
mecka,cleaning_clocks,1
mecka,cleaning_clothes,24
mecka,cleaning_clothes_racks,1
mecka,cleaning_cloths,1
mecka,cleaning_clutch_mechanisms,1
mecka,cleaning_clutch_plates,1
mecka,cleaning_coffee_bags,1
mecka,cleaning_coffee_makers,1
mecka,cleaning_collectibles,4
mecka,cleaning_components,18
mecka,cleaning_computer_components,3
mecka,cleaning_computer_parts,7
mecka,cleaning_computers,3
mecka,cleaning_container_lid,1
mecka,cleaning_containers,31
mecka,cleaning_controllers,1
mecka,cleaning_cookware,4
